ts_ms,running,wake_count,run_count,pending,inflight,node0_usage_exact,node0_usage_lru,node0_high,node0_low,node0_over,pgdemote,pgpromote,over_high,tmp_wake_attempts,tmp_wake_queued,tmp_wake_inflight,tmp_balance_pages,tmp_balance_target,tmp_loop_before,tmp_loop_after,tmp_loop_scanned,tmp_loop_reclaimed,tmp_loop_balanced_last,tmp_requeue_usage,tmp_requeue_high,tmp_requeue_true,tmp_requeue_false,tmp_wait_before,tmp_wait_after,tmp_wait_above,tmp_wait_not_above
1778225317732,1,3,3,0,0,4110419,4094079,4110417,3984588,1,N0=2650698,N0=1097269,0,16591210,3,16569149,4110418,3984588,4110418,4110417,128448,128448,1,3787413,4110417,0,2,3787413,3787413,0,2
1778225320013,1,3,3,0,0,4110419,4110301,4110417,3984588,1,N0=2775370,N0=1221941,0,18239673,3,18217612,4110418,3984588,4110418,4110417,128448,128448,1,3787413,4110417,0,2,3787413,3787413,0,2
1778225322606,1,3,3,0,0,4110405,4110298,4110417,3984588,0,N0=2890443,N0=1337007,0,20814682,3,20792621,4110388,3984588,4110388,4110388,128448,128448,1,3787413,4110417,0,2,3787413,3787413,0,2
1778225324870,1,3,3,0,0,4110395,4089331,4110417,3984588,0,N0=2985675,N0=1432245,0,23081751,3,23059690,4101951,3984588,4101951,4101951,128193,128193,1,3787413,4110417,0,2,3787413,3787413,0,2
1778225327202,1,3,3,0,0,4034531,4081210,4110417,3984588,0,N0=3083531,N0=1454214,0,23636864,3,23614803,4081283,3984588,4081283,4081283,127552,127552,1,3787413,4110417,0,2,3787413,3787413,0,2
1778225329544,0,3,3,0,0,3959395,3995683,4110417,3984588,0,N0=3158667,N0=1454214,0,23636864,3,23614803,3959395,3984588,4081283,3959395,123776,123776,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225331870,0,3,3,0,0,3959395,3959395,4110417,3984588,0,N0=3158667,N0=1454214,0,23636864,3,23614803,3959395,3984588,4081283,3959395,123776,123776,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225334162,1,4,4,0,0,4087623,4097922,4110417,3984588,0,N0=3183563,N0=1607338,0,25628004,4,25605903,4110419,3984588,4110419,3959395,123776,123776,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225336443,1,4,4,0,0,4001498,4024642,4110417,3984588,0,N0=3269707,N0=1607338,0,25628004,4,25605903,4049223,3984588,4049223,4049223,63296,63296,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225338714,1,4,4,0,0,4110292,4055070,4110417,3984588,0,N0=3362827,N0=1809279,0,27135731,4,27113630,4019530,3984588,4019530,4019530,125632,125632,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225341233,1,4,4,0,0,4002877,4037773,4110417,3984588,0,N0=3472651,N0=1811685,0,27136351,4,27114250,4001792,3984588,4001792,4001792,125056,125056,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225343527,1,4,4,0,0,4062172,4108574,4110417,3984588,0,N0=3596427,N0=1994751,0,28637256,4,28615155,4001792,3984588,4001792,4001792,125056,125056,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225345863,1,4,4,0,0,4084940,4059096,4110417,3984588,0,N0=3687947,N0=2109073,0,28637256,4,28615155,4059100,3984588,4059100,4059100,126848,126848,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225348127,1,4,4,0,0,4053713,4054981,4110417,3984588,0,N0=3784651,N0=2174516,0,30260375,4,30238274,4110341,3984588,4110341,4110341,128448,128448,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225350437,1,4,4,0,0,4110418,4110330,4110417,3984588,1,N0=3886219,N0=2332789,0,32624186,4,32602085,4006063,3984588,4006063,4006063,125248,125248,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225352695,1,4,4,0,0,3987498,4018353,4110417,3984588,0,N0=4013451,N0=2337101,0,32633987,4,32611886,4006063,3984588,4006063,4006063,125248,125248,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225355150,1,4,4,0,0,4101167,4110268,4110417,3984588,1,N0=4119371,N0=2556660,0,33532382,4,33510281,4110159,3984588,4110159,4110159,256896,256896,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225357459,1,4,4,0,0,4049708,4044597,4110417,3984588,0,N0=4251083,N0=2636974,0,33532382,4,33510281,4110159,3984588,4110159,4110159,256896,256896,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225359899,1,4,4,0,0,4046427,4110311,4110417,3984588,0,N0=4363019,N0=2745598,0,35045842,4,35023741,4046427,3984588,4046427,4046427,252928,252928,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225362222,1,4,4,0,0,4110405,4110347,4110417,3984588,0,N0=4487563,N0=2934133,0,36478814,4,36456713,4046427,3984588,4046427,4046427,252928,252928,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225364586,1,4,4,0,0,3993544,4000547,4110417,3984588,0,N0=4612619,N0=2942315,0,36552493,4,36530392,3993544,3984588,3993544,3993544,249600,249600,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225366853,1,4,4,0,0,3876168,3914568,4110417,3984588,0,N0=4729995,N0=2942315,0,36552493,4,36530392,3993544,3984588,3993544,3993544,249600,249600,1,3959395,4110417,0,3,3959395,3959395,0,3
1778225369145,0,4,4,0,0,3758600,3787784,4110417,3984588,0,N0=4847563,N0=2942315,0,36552493,4,36530392,3758600,3984588,3993544,3758600,234944,234944,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225371436,0,4,4,0,0,3758600,3758600,4110417,3984588,0,N0=4847563,N0=2942315,0,36552493,4,36530392,3758600,3984588,3993544,3758600,234944,234944,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225373875,0,4,4,0,0,3758600,3758600,4110417,3984588,0,N0=4847563,N0=2942315,0,36552493,4,36530392,3758600,3984588,3993544,3758600,234944,234944,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225376133,0,4,4,0,0,3758600,3758600,4110417,3984588,0,N0=4847563,N0=2942315,0,36552493,4,36530392,3758600,3984588,3993544,3758600,234944,234944,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225378412,0,4,4,0,0,3758600,3758600,4110417,3984588,0,N0=4847563,N0=2942315,0,36552493,4,36530392,3758600,3984588,3993544,3758600,234944,234944,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225380796,0,4,4,0,0,3758600,3758600,4110417,3984588,0,N0=4847563,N0=2942315,0,36552493,4,36530392,3758600,3984588,3993544,3758600,234944,234944,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225383443,0,4,4,0,0,3758600,3758600,4110417,3984588,0,N0=4847563,N0=2942315,0,36552493,4,36530392,3758600,3984588,3993544,3758600,234944,234944,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225385749,0,4,4,0,0,3758600,3758600,4110417,3984588,0,N0=4847563,N0=2942315,0,36552493,4,36530392,3758600,3984588,3993544,3758600,234944,234944,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225388137,0,4,4,0,0,3834630,3758600,4110417,3984588,0,N0=4847563,N0=3018358,0,36552493,4,36530392,3758600,3984588,3993544,3758600,234944,234944,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225390411,0,4,4,0,0,4065955,3907898,4110417,3984588,0,N0=4847563,N0=3249670,0,36552493,4,36530392,3758600,3984588,3993544,3758600,234944,234944,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225392655,1,5,5,0,0,4110418,4110355,4110417,3984588,1,N0=4866635,N0=3313205,0,40629418,5,40595908,4110419,3984588,4110419,3758600,234944,234944,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225394918,1,5,5,0,0,4030689,4056837,4110417,3984588,0,N0=4968971,N0=3335812,0,41246400,5,41212889,4088161,3984588,4088161,4088161,63936,63936,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225397169,1,5,5,0,0,4092402,4110414,4110417,3984588,0,N0=5078475,N0=3507029,0,44596189,5,44562678,4098748,3984588,4098748,4098748,128128,128128,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225399452,1,5,5,0,0,3991196,4011870,4110417,3984588,0,N0=5182091,N0=3509412,0,44596189,5,44562678,4006002,3984588,4006002,4006002,125248,125248,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225401840,1,5,5,0,0,4088486,4110268,4110417,3984588,0,N0=5297931,N0=3722569,0,46752794,5,46719283,4093606,3984588,4093606,4093606,127936,127936,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225404272,1,5,5,0,0,4110418,4110411,4110417,3984588,1,N0=5425163,N0=3871733,0,49178042,5,49144531,4028284,3984588,4028284,4028284,125888,125888,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225406641,1,5,5,0,0,4023735,4023720,4110417,3984588,0,N0=5544459,N0=3904346,0,50177661,5,50144150,4023735,3984588,4023735,4023735,125760,125760,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225409121,1,5,5,0,0,4110417,4110403,4110417,3984588,1,N0=5663784,N0=4110353,0,52450819,5,52417308,4110417,3984588,4110417,4110417,0,0,1,3758600,4110417,0,4,3758600,3758600,0,4
1778225411558,1,5,5,0,0,4110417,4110239,4110417,3984588,1,N0=5663959,N0=4110528,0,55732749,5,55699238,4110417,3984588,4110417,4110417,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225413829,1,5,5,0,0,4110382,4110382,4110417,3984588,1,N0=5663994,N0=4110528,0,58619689,5,58586178,4110382,3984588,4110382,4110382,2,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225416183,1,5,5,0,0,4110419,4110382,4110417,3984588,1,N0=5664007,N0=4110578,0,65369469,5,65335958,4110417,3984588,4110417,4110417,1,1,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225418502,1,5,5,0,0,4110216,4110419,4110417,3984588,1,N0=5664210,N0=4110578,0,65369469,5,65335958,4110216,3984588,4110216,4110216,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225420978,1,5,5,0,0,4110215,4110215,4110417,3984588,1,N0=5664211,N0=4110578,0,65369469,5,65335958,4110215,3984588,4110215,4110215,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225423396,1,5,5,0,0,4110113,4110113,4110417,3984588,1,N0=5664313,N0=4110578,0,65369469,5,65335958,4110113,3984588,4110113,4110113,9,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225425819,1,5,5,0,0,4109964,4110113,4110417,3984588,1,N0=5664462,N0=4110578,0,65369469,5,65335958,4109964,3984588,4109964,4109964,195,149,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225428251,1,5,5,0,0,4109714,4109964,4110417,3984588,1,N0=5664712,N0=4110578,0,65369469,5,65335958,4109714,3984588,4109714,4109714,251,250,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225430561,1,5,5,0,0,4110417,4109714,4110417,3984588,1,N0=5665166,N0=4111735,0,66017439,5,65983928,4109595,3984588,4109595,4109595,570,454,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225432921,1,5,5,0,0,4110366,4110366,4110417,3984588,1,N0=5665217,N0=4111735,0,69037299,5,69003788,4110366,3984588,4110366,4110366,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225435265,1,5,5,0,0,4109586,4109586,4110417,3984588,0,N0=5665997,N0=4111735,0,69037299,5,69003788,4110120,3984588,4110120,4110120,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225437726,1,5,5,0,0,4110417,4109586,4110417,3984588,1,N0=5666045,N0=4112614,0,70864805,5,70831295,4109538,3984588,4109538,4109538,48,48,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225440080,1,5,5,0,0,4110417,4110417,4110417,3984588,1,N0=5666188,N0=4112757,0,75468589,5,75435078,4110417,3984588,4110417,4110417,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225442468,1,5,5,0,0,4110419,4110343,4110417,3984588,1,N0=5666311,N0=4112882,0,80039016,5,80005505,4110417,3984588,4110417,4110417,290,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225445023,1,5,5,0,0,4110115,4110115,4110417,3984588,1,N0=5666615,N0=4112882,0,81417646,5,81384135,4110115,3984588,4110115,4110115,437,304,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225447357,1,5,5,0,0,4109774,4110417,4110417,3984588,1,N0=5667258,N0=4113184,0,86813166,5,86779655,4110417,3984588,4110417,4110417,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225449768,1,5,5,0,0,4110417,4109774,4110417,3984588,1,N0=5667916,N0=4114485,0,88897786,5,88864275,4110417,3984588,4110417,4110417,1787,658,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225452135,1,5,5,0,0,4110304,4110417,4110417,3984588,1,N0=5668029,N0=4114485,0,92104776,5,92071265,4110304,3984588,4110304,4110304,124,113,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225454493,1,5,5,0,0,4110419,4110419,4110417,3984588,1,N0=5668311,N0=4114882,0,95206476,5,95172965,4110419,3984588,4110419,4110419,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225456879,1,5,5,0,0,4109909,4110419,4110417,3984588,1,N0=5668821,N0=4114882,0,95206476,5,95172965,4110064,3984588,4110064,4110064,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225459259,1,5,5,0,0,4110417,4110417,4110417,3984588,1,N0=5668821,N0=4115390,0,101378536,5,101345025,4110417,3984588,4110417,4110417,62,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225461678,1,5,5,0,0,4110419,4110417,4110417,3984588,1,N0=5668932,N0=4115503,0,106391816,5,106358305,4110419,3984588,4110419,4110419,675,5,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225464029,1,5,5,0,0,4110097,4110097,4110417,3984588,1,N0=5669254,N0=4115503,0,108132386,5,108098875,4110097,3984588,4110097,4110097,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225466504,1,5,5,0,0,4109779,4109838,4110417,3984588,0,N0=5669576,N0=4115507,0,108132386,5,108098875,4109842,3984588,4109842,4109842,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225468860,1,5,5,0,0,4109490,4109775,4110417,3984588,0,N0=5669865,N0=4115507,0,108132386,5,108098875,4109490,3984588,4109490,4109490,366,289,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225471212,1,5,5,0,0,4109480,4109480,4110417,3984588,0,N0=5669875,N0=4115507,0,108132386,5,108098875,4109480,3984588,4109480,4109480,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225473628,1,5,5,0,0,4110419,4110419,4110417,3984588,1,N0=5670483,N0=4117054,0,111789011,5,111755500,4110419,3984588,4110419,4110419,300,98,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225476083,1,5,5,0,0,4110286,4110286,4110417,3984588,1,N0=5670616,N0=4117054,0,111789021,5,111755510,4110286,3984588,4110286,4110286,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225478459,1,5,5,0,0,4110418,4109994,4110417,3984588,1,N0=5671326,N0=4117896,0,117466187,5,117432676,4110417,3984588,4110417,4110417,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225480823,1,5,5,0,0,4110389,4110343,4110417,3984588,1,N0=5671355,N0=4117896,0,118216637,5,118183126,4110389,3984588,4110389,4110389,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225483194,1,5,5,0,0,4110375,4110375,4110417,3984588,1,N0=5671613,N0=4118140,0,124167747,5,124134236,4110417,3984588,4110417,4110417,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225485644,1,5,5,0,0,4110417,4110417,4110417,3984588,1,N0=5671818,N0=4118387,0,126573937,5,126540426,4110417,3984588,4110417,4110417,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225488058,1,5,5,0,0,4110301,4110417,4110417,3984588,1,N0=5671934,N0=4118387,0,129563187,5,129529676,4110301,3984588,4110301,4110301,630,116,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225490468,1,5,5,0,0,4110417,4110417,4110417,3984588,1,N0=5672062,N0=4118631,0,134858237,5,134824726,4110417,3984588,4110417,4110417,38,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225492801,1,5,5,0,0,4109724,4110315,4110417,3984588,1,N0=5672755,N0=4118631,0,134858237,5,134824726,4110315,3984588,4110315,4110315,0,0,0,3758600,4110417,0,4,3758600,3758600,0,4
1778225495298,0,5,5,0,0,2071208,2118968,4110417,3984588,0,N0=5672971,N0=4119326,0,137964448,5,137930937,3910493,3984588,4110417,3910493,24355,216,1,3734533,4110417,0,5,3910486,3734533,0,5
1778225497820,0,5,5,0,0,32,31,4110417,3984588,0,N0=5672971,N0=4119326,0,137964448,5,137930937,3910493,3984588,4110417,3910493,24355,216,1,3734533,4110417,0,5,3910486,3734533,0,5
1778225500161,0,5,5,0,0,32,31,4110417,3984588,0,N0=5672971,N0=4119326,0,137964448,5,137930937,3910493,3984588,4110417,3910493,24355,216,1,3734533,4110417,0,5,3910486,3734533,0,5
1778225502461,0,5,5,0,0,24,24,4110417,3984588,0,N0=5672971,N0=4119338,0,137964448,5,137930937,3910493,3984588,4110417,3910493,24355,216,1,3734533,4110417,0,5,3910486,3734533,0,5
